id,name,game,round,boardPosition
4882,THE HUMAN BODY,374,1,2
4883,PLAYWRIGHTS,375,1,2
4884,NOTORIOUS,371,2,0
4885,MYTHOLOGY,380,0,2
4886,WE GET LETTERS,373,1,5
4887,SPACE TECHNOLOGY,377,1,0
4888,SALT,378,0,4
4889,WORLD EXPLORATION,381,0,0
4890,JAZZ PIANISTS,375,1,3
4891,SHAKESPEARE,374,1,3
4892,BOOKS &amp; AUTHORS,372,1,5
4893,SKY HIGH,379,0,2
4894,POTENT POTABLES,376,1,1
4895,AT THE MOVIES,377,1,1
4896,AMERICANA,381,0,1
4897,RUSSIAN HISTORY,374,1,4
4898,TELEVISION HISTORY,372,2,0
4899,CONTEMPORARY QUOTATIONS,373,2,0
4900,NATURE,382,0,0
4901,FRENCH ROYALTY,375,1,4
4902,&quot;PEPPER&quot;,378,0,5
4903,ARTISTS,377,1,2
4904,ONOMATOPOETIC WORDS,374,1,5
4905,A FORD IN YOUR PAST,379,0,3
4906,ON THE INTERNET,380,0,3
4907,MOVIE CLASSICS,381,0,2
4908,THE 50 STATES,383,0,0
4909,THE INDIAN OCEAN,376,1,2
4910,&quot;LOCK&quot;s,375,1,5
4911,AMERICAN LITERATURE,374,2,0
4912,AFRICAN HISTORY,378,1,0
4913,MUSIC ODDS &amp; ENDS,377,1,3
4914,THE '96 FALL TELEVISION SEASON,382,0,1
4915,MOVIE REVIEWS,379,0,4
4916,LAKES &amp; RIVERS,384,0,0
4917,STATE CAPITALS,380,0,4
4918,SEASONAL MOVIES,376,1,3
4919,FILMS OF THE '50s,375,2,0
4920,HARRISON FORD MOVIES BY ROLE,378,1,1
4921,WORLD FACTS,385,0,0
4922,HEALTH &amp; MEDICINE,381,0,3
4923,CAVES,384,0,1
4924,NAME THAT MOVIE,383,0,1
4925,THE NEW TESTAMENT,382,0,2
4926,&quot;N&quot; THE KNOW,377,1,4
4927,&quot;C&quot;REATURES,380,0,5
4928,PREY PURVIEW,378,1,2
4929,HENCE THE TITLE,376,1,4
4930,ODDPODGE,383,0,2
4931,&quot;HEAVEN&quot; &amp; &quot;HELL&quot;,379,0,5
4932,ANIMALS,381,0,4
4933,NUMERICAL TV TITLES,385,0,1
4934,RANKS &amp; TITLES,382,0,3
4935,PACKAGING,384,0,2
4936,SHAKESPEERS,378,1,3
4937,WORLD GEOGRAPHY,380,1,0
4938,DEAD RECKONING,377,1,5
4939,PRESIDENTIAL CAMPAIGNS,384,0,3
4940,THE FUN '40s,383,0,3
4941,&quot;D&quot; IN COOKING,381,0,5
4942,&quot;VE&quot; DAY,376,1,5
4943,ARCHAEOLOGY,379,1,0
4944,FRUITS &amp; VEGETABLES,384,0,4
4945,AROUND THE HOUSE,385,0,2
4946,AMERICAN LICENSE PLATES,377,2,0
4947,DOCUMENTARIES,380,1,1
4948,AMERICAN HISTORY,382,0,4
4949,AMERICANA,376,2,0
4950,CONTRACT BRIDGE,378,1,4
4951,"HOWDY, PARTNER!",383,0,4
4952,LAKES &amp; RIVERS,381,1,0
4953,THE DREADED OPERA CATEGORY,386,0,0
4954,'60s TV,379,1,1
4955,TOUGH NURSERY RHYMES,385,0,3
4956,PRIME MINISTERS,387,0,0
4957,"HEY, &quot;D.J.&quot;",384,0,5
4958,TO SEIZE 2 Cs,378,1,5
4959,GARNISHES,382,0,5
4960,POETS &amp; POETRY,379,1,2
4961,TRANSPORTATION,380,1,2
4962,MIXED DRINKS,383,0,5
4963,RAKES &amp; LIVERS,384,1,0
4964,CELEBRITY RHYME TIME,386,0,1
4965,PEOPLE,385,0,4
4966,PHARAOHS,381,1,1
4967,EUROPEAN ACTRESSES,387,0,1
4968,AT THE BALLET,383,1,0
4969,I BEAT YOU,379,1,3
4970,NATIVE AMERICANS,380,1,3
4971,PRESIDENTS,378,2,0
4972,MYTHOLOGY,387,0,2
4973,THE TROJANS,382,1,0
4974,DO US A FLAVOR,386,0,2
4975,MUSIC,381,1,2
4976,EUROPEAN HISTORY,388,0,0
4977,CROSSWORD CLUES &quot;R&quot;,385,0,5
4978,POTENT POTABLES,387,0,3
4979,SPORTSMEN,383,1,1
4980,THE STANLEY CUP,384,1,1
4981,MORE THAN 13-LETTER WORDS,381,1,3
4982,BALLET,380,1,4
4983,20TH CENTURY AUTHORS,382,1,1
4984,CHURCHES,386,0,3
4985,MUSEUMS,379,1,4
4986,BODIES OF WATER,387,0,4
4987,SPORTS,388,0,1
4988,THE 1970s,385,1,0
4989,U.S. GOVERNMENT JOBS,384,1,2
4990,PAY UP!,383,1,2
4991,WORLD CITIES,382,1,2
4992,TRAVEL U.S.A.,388,0,2
4993,ABC,379,1,5
4994,FICTIONAL CHARACTERS,381,1,4
4995,MYTHOLOGICAL CREATURES,384,1,3
4996,SHAKESPEARE,385,1,1
4997,STARTS WITH &quot;J&quot;,387,0,5
4998,19th CENTURY NOVELS,380,1,5
4999,WORLD FLAGS,386,0,4
5000,VINCENT,383,1,3
5001,ART &amp; ARTISTS,382,1,3
5002,MEN IN CHARGE,384,1,4
5003,PATRON SAINTS,387,1,0
5004,COLLEGES AND UNIVERSITIES,379,2,0
5005,FLORAL POTPOURRI,381,1,5
5006,LATIN WORDS &amp; PHRASES,388,0,3
5007,THE DREADED OPRAH CATEGORY,386,0,5
5008,TEXTBOOKS,380,2,0
5009,&quot;VAN&quot;,383,1,4
5010,PATRON SAINTS,381,2,0
5011,AS QUOTED IN NEWSWEEK,389,0,0
5012,PHYSICS,385,1,2
5013,WORLD HISTORY,387,1,1
5014,WHERE HISTORY HAPPENED,390,0,0
5015,THEATRE,382,1,4
5016,TRIPLE &quot;A&quot;,384,1,5
5017,BUSINESS &amp; INDUSTRY,388,0,4
5018,STARTS WITH &quot;KE&quot;,391,0,0
5019,LITERATURE,387,1,2
5020,GO,383,1,5
5021,ROLE REVERSAL,389,0,1
5022,IT HAPPENED IN '05,386,1,0
5023,THE CARIBBEAN,385,1,3
5024,TITLE FILM ANIMALS,390,0,1
5025,LLOYDERING,382,1,5
5026,WRITERS AT REST,390,0,2
5027,ANIMALS,391,0,1
5028,AUTHORS,384,2,0
5029,SCIENCE,387,1,3
5030,U.S. MONEY,389,0,2
5031,Q BUT NOT U,386,1,1
5032,"HEY, THAT'S &quot;GREAT&quot;!",390,0,3
5033,EUROPEAN CAPITALS,383,2,0
5034,VICE PRESIDENTS,382,2,0
5035,SOUTH OF THE EQUATOR,392,0,0
5036,POPES NAMED LEO,388,0,5
5037,FOOD,392,0,1
5038,WORLD HISTORY,393,0,0
5039,CURRENT KINGS,385,1,4
5040,OPERA,387,1,4
5041,VACATION POSSIBILITIES,386,1,2
5042,SHAKESPEARE,388,1,0
5043,THE OSCARS,392,0,2
5044,ISLANDS,394,0,0
5045,GIMME MY HUNCHBACK,386,1,3
5046,PEOPLE FROM PLACES,389,0,3
5047,ACTORS &amp; THEIR ROLES,391,0,2
5048,ODDS &amp; ENDS,387,1,5
5049,SOCIAL TYPES,390,0,4
5050,NOVEL VOCABULARY,385,1,5
5051,THE UNIVERSE,393,0,1
5052,ASTRONOMY,388,1,1
5053,COMPANY SYMBOLS,392,0,3
5054,COMMON BONDS,391,0,3
5055,ONE-WORD IMPERATIVES,390,0,5
5056,PREHISTORIC CRITTERS,386,1,4
5057,POP SINGERS,387,2,0
5058,MEDICINE,394,0,1
5059,AMERICAN MOVIE STARS,388,1,2
5060,MUSICAL INSTRUMENTS,391,0,4
5061,ANIMATION,395,0,0
5062,THE MIDWEST,385,2,0
5063,HISTORIC NAMES,392,0,4
5064,ART LECTURE,390,1,0
5065,PBS,394,0,2
5066,THIS LOOKS LIKE A GOOD SPOT,389,0,4
5067,GARDENING,393,0,2
5068,&quot;AS&quot; YOU LIKE IT,386,1,5
5069,COUNTRIES OF THE WORLD,388,1,3
5070,AUSTRALIAN WILDLIFE,396,0,0
5071,THE QUOTABLE FRANKLIN,391,0,5
5072,EXPLORATION,395,0,1
5073,THE FIRST MODERN OLYMPICS,390,1,1
5074,MUSEUMS,394,0,3
5075,THE BEATLES,392,0,5
5076,PULL &quot;OVER&quot;,389,0,5
5077,QUOTATIONS,388,1,4
5078,20th CENTURY ATHLETES,386,2,0
5079,MIDDLE NAMES,394,0,4
5080,ACTORS' REAL NAMES,393,0,3
5081,POLITICAL LEADERS,391,1,0
5082,JUST DESSERTS,390,1,2
5083,EMMY-WINNING ROLES,396,0,1
5084,THE 1990S,397,0,0
5085,CONSERVATION,395,0,2
5086,WORLD LEADERS,388,1,5
5087,OHIO,389,1,0
5088,SHAKESPEARE,391,1,1
5089,STARTS WITH &quot;B&quot;,394,0,5
5090,UNITED NATIONS SECRETARIES-GENERAL,392,1,0
5091,TRANSPORTATION,395,0,3
5092,"GEE, YOU SMELL TERRIFIC",396,0,2
5093,SPAIN,388,2,0
5094,FOOD &amp; DRINK,393,0,4
5095,LARRY KING'S PUBLIC FIGURES,398,0,0
5096,ANIMALS,397,0,1
5097,ANCIENT HISTORY,394,1,0
5098,CROSSWORD CLUES &quot;M&quot;,390,1,3
5099,THE OLYMPICS,392,1,1
5100,PARIS,391,1,2
5101,THE LAST AMERICAN TO WIN THE GOLD,389,1,1
5102,APPROBATION,395,0,4
5103,2004 NEW YORK TIMES BESTSELLERS,396,0,3
5104,YOU GO URUGUAY,390,1,4
5105,MAGAZINES,394,1,1
5106,ACTION STARS,397,0,2
5107,DRIVING,398,0,1
5108,UP &amp; ATOM,389,1,2
5109,RHYME TIME,393,0,5
5110,I'LL GO MINE,390,1,5
5111,VILIFICATION,395,0,5
5112,FOOD,391,1,3
5113,BIBLICAL PEOPLE,397,0,3
5114,COMPOSERS,394,1,2
5115,"MAD, I TELL YOU!",389,1,3
5116,ART &amp; ARTISTS,392,1,2
5117,POPULATIONS,396,0,4
5118,MICHAEL JACKSON HITS IN OTHER WORDS,398,0,2
5119,U.S. CITIES,393,1,0
5120,HISTORIC BUSINESSMAN,390,2,0
5121,FAMOUS AMERICANS,394,1,3
5122,TO &quot;EACH&quot; HIS OWN,396,0,5
5123,INTERNATIONAL THEATRE,397,0,4
5124,GET MEDIEVAL,389,1,4
5125,HISTORIC GREETING CARDS,399,0,0
5126,ARCHAEOLOGY,391,1,4
5127,ARGENTINA,394,1,4
5128,CELEBRATIONS,395,1,0
5129,RELIGION,392,1,3
5130,20th CENTURY BALLET,398,0,3
5131,MARCH MADNESS,396,1,0
5132,EXPORTS,398,0,4
5133,WORLD LITERATURE,392,1,4
5134,HISTORY,397,0,5
5135,ANAGRAMMED BROADWAY MUSICALS,389,1,5
5136,INNS &amp; INNKEEPERS,391,1,5
5137,MAGAZINES,393,1,1
5138,LIBRARIES,399,0,1
5139,WHAT A BROADWAY CHARACTER!,396,1,1
5140,PLAY SETTINGS,394,1,5
5141,FAMILIAR PHRASES,398,0,5
5142,HISTORIC NAMES,389,2,0
5143,LIBATIONS,395,1,1
5144,MOUNTAINS,392,1,5
5145,U.S. POLITICS,394,2,0
5146,U.S. STATES,391,2,0
5147,ROYALTY,397,1,0
5148,AFRICAN-AMERICAN HISTORY,400,0,0
5149,OOH... A WISE GUY,398,1,0
5150,RELIGION,393,1,2
5151,NOTABLE NAMES,401,0,0
5152,BODIES OF WATER,402,0,0
5153,KING JAMES BIBLE BEASTS,399,0,2
5154,ASSASSINATIONS,395,1,2
5155,ALSO A BODY PART,396,1,2
5156,RULERS,392,2,0
5157,MOVIE SONGS,400,0,1
5158,BLACK &amp; WHITE CINEMA,401,0,1
5159,HEALTH &amp; MEDICINE,397,1,1
5160,WONDER DRUGS,398,1,1
5161,TOP 40 LAST NAMES,402,0,1
5162,ARTISTS,393,1,3
5163,CREATIONS,395,1,3
5164,LOONEY TUNES,399,0,3
5165,ART &amp; ARTISTS,403,0,0
5166,BOOK REVIEWS,400,0,2
5167,&amp; NEVER THE TWAINS SHALL MEET,396,1,3
5168,"TOM, DICK OR HARRY",401,0,2
5169,DON'T MESS WITH SICILY,398,1,2
5170,AWARDS,402,0,2
5171,U.S. CITY SONGS,403,0,1
5172,ANCIENT EGYPT,397,1,2
5173,DOGS,393,1,4
5174,"WHAT'S UP, DUCK?",399,0,4
5175,ADAPTATIONS,395,1,4
5176,CRIME,396,1,4
5177,QUOTATIONS,402,0,3
5178,SYMBOLISM,400,0,3
5179,ALLITERATION,401,0,3
5180,WEAPONS OF WAR,403,0,2
5181,DIRECTED BUT DID NOT STAR,398,1,3
5182,THE THINGS YOU SAY!,396,1,5
5183,AUTHORS,397,1,3
5184,"THAT'S &quot;ALL&quot;, FOLKS!",399,0,5
5185,BAR EXAM,401,0,4
5186,NOODLE DISHES,402,0,4
5187,POE,393,1,5
5188,DICK &amp; JANE &amp; SPOT HODGEPODGE,400,0,4
5189,CRUSTACEANS,395,1,5
5190,LET'S NOT SPREAD 'EM AROUND,403,0,3
5191,WORLD LITERATURE,399,1,0
5192,BOOK ENDS,401,0,5
5193,PRESIDENTIAL FINAL MOMENTS,398,1,4
5194,HISTORIC NAMES,396,2,0
5195,5-SYLLABLE WORDS,402,0,5
5196,POT - &quot;POR&quot; - RI,400,0,5
5197,TAKE ME TO YOUR DIRECTOR,399,1,1
5198,WORLD GEOGRAPHY,397,1,4
5199,PRESIDENTS,393,2,0
5200,I'M 18 &amp; I LIKE IT,404,0,0
5201,THE POPES,401,1,0
5202,ORGANIZATIONS,395,2,0
5203,GIVE PEAS A CHANCE,403,0,4
5204,PRESIDENTS,405,0,0
5205,WAR,402,1,0
5206,LONG GERMAN WORDS,398,1,5
5207,COMPOSERS,397,1,5
5208,PRESIDENTS &amp; BASEBALL,406,0,0
5209,GO TO HELSINKI!,400,1,0
5210,TOP 100 NEWSPAPERS,404,0,1
5211,"VOLCANO, ISLAND OR PENINSULA",399,1,2
5212,GOODWILL TOWARD &quot;MEN&quot;,403,0,5
5213,JOHN/PAUL,401,1,1
5214,POTPOURRI,405,0,1
5215,STATUE-ESQUE,400,1,1
5216,BUSINESS JARGON,399,1,3
5217,SANDWICHES,406,0,1
5218,PETER O'TOOLE TIME,402,1,1
5219,THE SPANISH-AMERICAN WAR,404,0,2
5220,URBAN,401,1,2
5221,AMERICAN FOLKLORE,403,1,0
5222,FAMOUS PEOPLE,398,2,0
5223,OTHER PLANETS' MOONS,399,1,4
5224,ARTISTS,397,2,0
5225,SPORTS,407,0,0
5226,NORSE MYTHOLOGY,405,0,2
5227,ENTERTAINMENT NEWS,400,1,2
5228,SYMPTOMS OF AFFLUENZA,406,0,2
5229,JOURNALISM,408,0,0
5230,INNOCENT,401,1,3
5231,DO YOU LIKE KIPLING?,402,1,2
5232,MATH,405,0,3
5233,ANIMATED HISTORY,404,0,3
5234,AMERICAN LITERATURE,407,0,1
5235,MOVIE ROLES,403,1,1
5236,E_____E,406,0,3
5237,LEO,401,1,4
5238,MIND YOUR BUSINESS,400,1,3
5239,CITY NICKNAMES,408,0,1
5240,GENUS I.Q.,402,1,3
5241,BY THE BAY,404,0,4
5242,FOREIGN FILMS,405,0,4
5243,6-LETTER WORDS,399,1,5
5244,ELEMENT &amp; STATE,400,1,4
5245,ASTRONAUTS,406,0,4
5246,COOKING,407,0,2
5247,&quot;B&quot; BOYS,402,1,4
5248,PHYSICAL SCIENCE,408,0,2
5249,&quot;LINE&quot; US,401,1,5
5250,THE FRANK LLOYD WRIGHT STUFF,406,0,5
5251,COUNTRIES IN SPANISH,403,1,2
5252,13-LETTER WORDS,405,0,5
5253,"NEXT LINE, PLEASE",404,0,5
5254,U.S. COLLEGE TOWNS,399,2,0
5255,MEXICO,407,0,3
5256,BEFORE &amp; AFTER,400,1,5
5257,OFFICIAL STATE SEALS,409,0,0
5258,5 SELLABLE WORDS,402,1,5
5259,SINGING STYLES,403,1,3
5260,SIGNS &amp; SYMBOLS,401,2,0
5261,SEAN CONNERY,404,1,0
5262,HAUTE CUISINE,405,1,0
5263,COMING TO AMERICA,406,1,0
5264,U.S. HISTORY,408,0,3
5265,QUOTES,410,0,0
5266,ORGANIZATIONS,400,2,0
5267,U.S. PRESIDENTS,402,2,0
5268,"SURPRISE ME, TREBEK!",404,1,1
5269,B.C. PEOPLE,403,1,4
5270,MOVIE CROSSWORD CLUES &quot;G&quot;,409,0,1
5271,HOLLYWOOD HISTORY,411,0,0
5272,GLANDS,407,0,4
5273,SINGERS,408,0,4
5274,SICKNESS &amp; HEALTH,405,1,1
5275,INVENTIVE MINDS,412,0,0
5276,SONG SUNG &quot;BLUE&quot;,406,1,1
5277,WORLD GEOGRAPHY,411,0,1
5278,REDUNDANCY &amp; REPETITION,403,1,5
5279,THERAPISTS,404,1,2
5280,THIRD PARTY PRESIDENTIAL CANDIDATES,409,0,2
5281,12-LETTER WORDS,408,0,5
5282,SWEET CAROLINA,406,1,2
5283,BIOGRAPHY,412,0,1
5284,VOLCANOS,403,2,0
5285,CINEMA,410,0,1
5286,NAME'S THE SAME,407,0,5
5287,ANCIENT GEOGRAPHY,405,1,2
5288,ADVERTISING,409,0,3
5289,THINGS YOU SHOULDN'T PUT IN YOUR MOUTH,404,1,3
5290,1981,411,0,2
5291,TANGENTIAL ETRUSCAN POTPOURRI,409,0,4
5292,ABBREV.,408,1,0
5293,LIBRARIES,410,0,2
5294,HISTORICAL PAINTINGS,413,0,0
5295,"THAT'S WHERE IT'S AT, MAN!",412,0,2
5296,YOU DON'T BRING ME FLOWERS,406,1,3
5297,CONQUERORS,407,1,0
5298,ANIMAL WORDS &amp; PHRASES,409,0,5
5299,WEATHER,411,0,3
5300,THE NUMBER AFTER 2,404,1,4
5301,SCIENCE,410,0,3
5302,SCOTLAND,408,1,1
5303,NEWSPAPERS,405,1,3
5304,I AM I SAID,406,1,4
5305,THE LADIES OF ROCK,413,0,1
5306,MUSIC,407,1,1
5307,CHILDREN'S LITERATURE,410,0,4
5308,CLASSICAL COMPOSERS,409,1,0
5309,THE WARS OF THE ROSES,411,0,4
5310,MOTTOES,412,0,3
5311,RHYMES WITH DOG,404,1,5
5312,ORCHESTRA CONDUCTORS,405,1,4
5313,IN THE PANTRY,413,0,2
5314,BALLET,408,1,2
5315,PHYSICS,407,1,2
5316,HELLO AGAIN,406,1,5
5317,DRAMA,407,1,3
5318,19th CENTURY AUTHORS,404,2,0
5319,STARS' PRODUCTION COMPANIES,409,1,1
5320,THE GOOD BOOK SAYS...,413,0,3
5321,NOT A POPE,412,0,4
5322,MEDICINES,408,1,3
5323,2-LETTER WORDS,410,0,5
5324,NAME THAT POET,405,1,5
5325,LANGUAGES,407,1,4
5326,&quot;NOTHING&quot; DOING,411,0,5
5327,RULERS,406,2,0
5328,STARTS WITH A PRONOUN,412,0,5
5329,CORPORATE AMERICA,414,0,0
5330,CORN,409,1,2
5331,20TH CENTURY AMERICA,410,1,0
5332,POETRY,408,1,4
5333,STATE CAPITALS,405,2,0
5334,SCIENTISTS,411,1,0
5335,BORN &amp; DIED,407,1,5
5336,THE U.S.,415,0,0
5337,WHAT'S IN A NAME,413,0,4
5338,LITERATURE,412,1,0
5339,AUTHOR'S MAIDEN NAMES,409,1,3
5340,U.S. SKYSCRAPERS,416,0,0
5341,ART,410,1,1
5342,GARDENING,414,0,1
5343,MOVIE DEBUTS,415,0,1
5344,FAMOUS EDUCATORS,408,1,5
5345,COMMUNICATIONS,407,2,0
5346,WHO PLAYED 'EM,412,1,1
5347,START SPREADING THE &quot;NEW&quot;s,409,1,4
5348,THE CONSTITUTION,411,1,1
5349,&quot;X&quot; RATED,413,0,5
5350,USA,417,0,0
5351,BIRTHDAY'S THE SAME,416,0,1
5352,BUSINESS &amp; INDUSTRY,410,1,2
5353,VICE PRESIDENTS,408,2,0
5354,MY MUMMY DONE TOLD ME,412,1,2
5355,I'M LEAFING TODAY,409,1,5
5356,WORLD WAR II,413,1,0
5357,INVENTORS,415,0,2
5358,WORLD WAR II IN PICTURES,418,0,0
5359,MYTHS &amp; LEGENDS,414,0,2
5360,HISTORIC NAMES,411,1,2
5361,CONGRESSIONAL MISDEMEANORS,412,1,3
5362,THEATER,410,1,3
5363,THE 1880S,416,0,2
5364,WOMEN,415,0,3
5365,MUSICMAKERS,417,0,1
5366,MILITARY MEN,409,2,0
5367,FRENCH LITERATURE,411,1,3
5368,COMIC STRIP SETTINGS,418,0,1
5369,TAM O'SHATNER,413,1,1
5370,INCREDIBLE EDIBLES,416,0,3
5371,RECORD ALBUMS,414,0,3
5372,I READ THE NEWS TODAY,412,1,4
5373,ANAGRAMMED WORLD CAPITALS,419,0,0
5374,QUOTATIONS,415,0,4
5375,THE SOVIET UNION,410,1,4
5376,MIDDLE NAME PLEASE,417,0,2
5377,THE PIANO,416,0,4
5378,AMERICAN TOWNS &amp; CITIES,413,1,2
5379,"OH, &quot;BOY&quot;",412,1,5
5380,NAME DRINKS,418,0,2
5381,SLAVERY,414,0,4
5382,AUTHORS' MAIDEN NAMES,410,1,5
5383,COLLEGE POTPOURRI,415,0,5
5384,&quot;G.G.&quot;,413,1,3
5385,KEEP THE FAITH,417,0,3
5386,FAMOUS PAIRS,419,0,1
5387,WISCONSINITES,411,1,4
5388,MUSICAL THEATER,412,2,0
5389,THE CENSUS,410,2,0
5390,KNOWING HIM BIBLICALLY,418,0,3
5391,HISTORY,421,0,0
5392,LETHAL WEAPONS,417,0,4
5393,1889,415,1,0
5394,LITERARY QUOTES,420,0,0
5395,&quot;CHAIN&quot;S,414,0,5
5396,ROBERT BURNS,413,1,4
5397,"IN THE MARCH 28, 2000 NEWSPAPER",419,0,2
5398,HODGEPODGE,416,0,5
5399,FLOWERS &amp; TREES,411,1,5
5400,"OH, CRAPS!",418,0,4
5401,WORD &amp; PHRASE ORIGINS,417,0,5
5402,2 PARTS OF SPEECH,413,1,5
5403,FAMOUS FIRSTS,414,1,0
5404,SITCOMS,421,0,1
5405,HIGHWAYS &amp; BYWAYS,415,1,1
5406,SMELLS LIKE TEAM SPIRIT,420,0,1
5407,UNREAL ESTATE,411,2,0
5408,THAT'S A FACT!,419,0,3
5409,ARTISTS,416,1,0
5410,7-LETTER EDIBLES,421,0,2
5411,BANK SHOTS,420,0,2
5412,USA!! USA!!,417,1,0
5413,LITERATURE,414,1,1
5414,POOCH PROVERBS,418,0,5
5415,FAMOUS MEXICANS,415,1,2
5416,PROFESSORS,419,0,4
5417,PEOPLE IN HISTORY,422,0,0
5418,WORLD GEOGRAPHY,416,1,1
5419,20th CENTURY AUTHORS,413,2,0
5420,AMERICA,421,0,3
5421,JAMES THURBER,417,1,1
5422,ARTISTS,414,1,2
5423,STATE NICKNAMES,420,0,3
5424,THE HIGH &amp; THE MIGHTY,419,0,5
5425,THE HIGH COST OF LIVING,423,0,0
5426,BIRDS,416,1,2
5427,TELEVISION,422,0,1
5428,COLORFUL GEOGRAPHY,418,1,0
5429,FLIGHTLESS BIRDS,415,1,3
5430,WORLD OF FOOD,417,1,2
5431,WHO LET THE DOGS OUT?,419,1,0
5432,MAGAZINES &amp; NEWSPAPERS,420,0,4
5433,THE BODY HUMAN,414,1,3
5434,OBJECTS,421,0,4
5435,TV TITLE PAIRS,418,1,1
5436,PROVERBS,414,1,4
5437,GEMS &amp; JEWELRY,422,0,2
5438,WHAT'S MY LINE?,419,1,1
5439,INSPIRED SONGS,423,0,1
5440,SPANISH,421,0,5
5441,20TH CENTURY WRITERS,416,1,3
5442,PARDON MY ADJECTIVE,420,0,5
5443,BARONS &amp; BARONESSES,417,1,3
5444,WHERE THE &quot;BOY&quot;s ARE?,419,1,2
5445,TRAVEL &amp; TOURISM,414,1,5
5446,A McCATEGORY,418,1,2
5447,MUSEUMS,415,1,4
5448,SCIENCE,421,1,0
5449,EUROPEAN GEOGRAPHY,422,0,3
5450,PAYING TRIBUTE,423,0,2
5451,ESPIONAGE,416,1,4
5452,POETRY SLAM,420,1,0
5453,MYTHING IN ACTION,418,1,3
5454,U.S. HISTORY,414,2,0
5455,IS THERE A DOCTOR IN THE HOUSE?,417,1,4
5456,SINGERS,421,1,1
5457,AUTOBIOGRAPHIES,415,1,5
5458,I'LL HAVE SECONDS,423,0,3
5459,WORD ORIGINS,416,1,5
5460,"WHEN WAS THAT, BORIS?",419,1,3
5461,HOW &quot;U&quot; DOING?,418,1,4
5462,THE 13 COLONIES,424,0,0
5463,'60s POP MUSIC,420,1,1
5464,VEHICLES,421,1,2
5465,SCIENTISTS,416,2,0
5466,OLD BASEBALL TEAMS,422,0,4
5467,TRAVEL &amp; TOURISM,415,2,0
5468,NEW TESTAMENT QUOTES,423,0,4
5469,ENDS IN &quot;TU&quot;,417,1,5
5470,BEASTLY MOVIES,424,0,1
5471,ELEMENTAL LATIN,420,1,2
5472,MATH SYMBOLS,425,0,0
5473,AUTHORS,421,1,3
5474,FELINE FINE,418,1,5
5475,ALL IN THE FAMILY,426,0,0
5476,WHY DID THEY MAKE THIS MOVIE?,419,1,4
5477,ANAGRAMS,422,0,5
5478,OSCAR NOMINEES,417,2,0
5479,KANGAROO WORDS,423,0,5
5480,TOLSTOY'S R US,424,0,2
5481,LEFTOVERS,425,0,1
5482,EXPLORERS,420,1,3
5483,BELIEFS,421,1,4
5484,NATIVE AMERICANS,427,0,0
5485,EMOTIONS,426,0,1
5486,USING YOUR NOODLE,424,0,3
5487,HOW DO YOU WORK THIS THING?,419,1,5
5488,FILM DIRECTORS,418,2,0
5489,SPACE EXPLORERS,422,1,0
5490,THE HIGH COST OF DYING,423,1,0
5491,&quot;B&quot; MOVIES,425,0,2
5492,ASTRONOMER'S DICTIONARY,419,2,0
5493,TOM SWIFTIES,421,1,5
5494,PERU,428,0,0
5495,A_O_L,420,1,4
5496,GERMAN CUISINE,422,1,1
5497,GENERAL SCIENCE,429,0,0
5498,LET'S TALK,424,0,4
5499,CARD GAMES,427,0,1
5500,THEY WROTE FOR BRITTANICA,426,0,2
5501,CELEBRITY CRITTERS,423,1,1
5502,YOU'VE GOT MAIL,420,1,5
5503,WARTIME,421,2,0
5504,TRUSTY SIDEKICKS,426,0,3
5505,INVENTORS,425,0,3
5506,1960S POP PERSONALITIES,422,1,2
5507,NURSERY RHYMES,429,0,1
5508,'60s TV ACTORS,428,0,1
5509,THE NEW YORK TIMES CROSSWORD CLUES &quot;O&quot;,424,0,5
5510,BUILDING VOCABULARY,423,1,2
5511,DEATH OF A PRESIDENT,430,0,0
5512,WORLD LEADERS,427,0,2
5513,TERMS IN SCIENCE,420,2,0
5514,LEGAL BRIEFS,426,0,4
5515,STATE CAPITALS,424,1,0
5516,FOR OLD CRIMES' SAKE,425,0,4
5517,NONFICTION,423,1,3
5518,GEOGRAPHY,431,0,0
5519,FICTIONAL CHARACTERS,422,1,3
5520,ANIMAL AKA,428,0,2
5521,LIBRARIES,429,0,2
5522,FAKING IT,426,0,5
5523,FABRICS &amp; TEXTILES,427,0,3
5524,BONDS,430,0,1
5525,ANTS,423,1,4
5526,LITTLE ROCK,424,1,1
5527,SPEAKING CAJUN,425,0,5
5528,A FOOD ATTITUDE,428,0,3
5529,ANCIENT EGYPT,429,0,3
5530,GIVE IT A &quot;PUSH&quot;,423,1,5
5531,"HAPPY BIRTHDAY, THE NEW YORK TIMES",426,1,0
5532,LETTER PERFECT,427,0,4
5533,THE MOVIES,431,0,1
5534,WORLD RELIGIONS,422,1,4
5535,BISMARCK,424,1,2
5536,MONEY PROBLEMS,429,0,4
5537,THEATRE IN THE NEW YORK TIMES,425,1,0
5538,THE FIRST WORD,430,0,2
5539,PEOPLE IN GOVERNMENT,423,2,0
5540,THE OSCARS,426,1,1
5541,BY THE HUNDREDS,428,0,4
5542,POTPOURRI,427,0,5
5543,FRUITS &amp; VEGETABLES,431,0,2
5544,DOWN FOR THE COUNT,422,1,5
5545,BUSINESS &amp; INDUSTRY,425,1,1
5546,EXPLORERS,432,0,0
5547,4-LETTER WORDS,429,0,5
5548,NASHVILLE,424,1,3
